Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Dhenifer Gomes,_falamana,São Paulo,1000,5,4,1,0,11669,518,5,11930,R$0.08,0.04%,R$200.00,R$0.09,4.44%,0,0,0,
Milhas Sem Segredo,milhassemsegredo,São Paulo,13500,7,6,1,0,45372,2467,2404,46482,R$0.86,3.38%,R$218.29,R$0.89,3.84%,0.00%,0,0,
Matheus Tiburtino,matheustiburtino,São Paulo,18000,7,6,1,0,80170,4701,3992,81864,R$0.27,4.55%,R$31.36,R$0.28,5.77%,0.00%,0,0,
Norton Reveno,nortonreveno,São Paulo,18000,7,6,1,0,34359,1007,965,28033,R$1.48,3.77%,R$77.79,R$1.55,4.17%,0.00%,0,0,
Lucas Fialho,lucasfialhoo,Santa Maria,17500,8,7,1,0,47708,2400,2364,49404,R$0.70,2.60%,R$9.64,R$0.72,2.76%,0.00%,0,0,
Marcelo Mello,marcellomelojr,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Fernandinho Beatbox,bbxfernandinho,São Paulo,0,18,17,1,0,23351,969,0,23351,R$0.00,0.00%,R$0.00,R$0.00,6.47%,0.00%,0,0,
Bibi Tatto,bibitatto,São Paulo,0,4,3,0,1,240767,5337,177,235811,R$0.00,0.07%,R$0.00,R$0.00,3.50%,13.67%,0,37468,
Kauana Hofema,kauhofem,São Paulo,0,1,0,1,0,143544,31389,323,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Duda Kropf,dudakropf,São Paulo,0,1,0,0,1,11575,880,0,20000,R$0.00,0.00%,R$0.00,R$0.00,7.60%,7.60%,0,0,
Bruno Magri,brunomagri,São Paulo,0,4,3,0,1,14366,103,10,14366,R$0.00,0.07%,R$0.00,R$0.00,1.97%,7.60%,0,0,
Gabrielle Stacenco,gabistacenco,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Gustavo Paz,guupaz,São Paulo,0,2,2,0,0,22830,70,47,22830,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Camila Loures,camilaloures,São Paulo,35000,4,3,1,0,1123691,23714,163,1152963,R$0.03,0.02%,R$94.47,R$0.03,1.67%,0.00%,0,0,
Caio Castro,caiocastro,São Paulo,54000,3,2,1,0,1211965,3600,0,1211965,R$0.23,0.00%,R$0.00,R$0.23,0.12%,0.00%,0,0,
João Guilherme,joaoguilherme,São Paulo,55000,5,4,1,0,812558,12045,0,812558,R$0.07,0.00%,R$0.00,R$0.07,1.48%,0.00%,0,0,
Criolo,criolomc,São Paulo,43200,3,2,1,0,61074,2088,12,63076,R$0.71,0.03%,"R$1,800.00",R$0.75,4.25%,0.00%,0,0,
Felipe Andreoli,andreolifelipe,São Paulo,10000,5,5,0,0,59918,135,14,59918,R$0.17,0.02%,R$714.29,R$0.17,0.23%,0.00%,0,0,
Rafa Brites,rafabrites,São Paulo,14000,7,7,0,0,167630,188,21,167630,R$0.08,0.01%,R$667.00,R$0.08,0.11%,0.00%,0,0,
Vanessa Lopes,vanessalopesr_,São Paulo,9000,1,0,1,0,102918,5754,0,114645,R$0.08,0.00%,R$0.00,R$0.09,5.59%,0.00%,0,0,
Renan Keller,renankeller, São Paulo,71000,28,21,4,3,1241476,55262,1996,1001771,R$0.05,0.16%,R$0.03,R$0.23,4.45%,10.80%,282,102298,
Joãozinho,j0a0zinh0, São Paulo,45000,29,21,4,4,3207346,102456,3545,3817806,R$0.01,0.11%,R$0.08,R$0.19,3.19%,17.37%,2410,717919,
Qual Rolê | Uberlândia,qualroleudi,Uberlândia,6600,9,8,1,0,97341,1439,767,32447,R$0.07,0.79%,R$0.12,R$0.21,1.47%,0.00%,0,0,
Janelas de Ouro Preto,janelasdeouropreto,Ouro Preto,4800,9,8,1,0,56565,1044,234,59364,R$0.08,0.41%,R$0.05,R$0.00,1.84%,0.00%,0,0,
Helo Teixeira,heloteixeira,Arraial do Cabo,4000,9,8,1,0,72420,3535,678,72420,R$0.05,0.94%,R$0.17,R$0.01,4.90%,0.00%,0,0,
Julia Zaneti,juliazaneti,Ribeirão,3200,9,8,1,0,8026,356,66,8026,R$0.38,0.82%,R$0.02,R$0.15,4.40%,0.00%,0,0,
Dicas São Sebastião,saosebastiao.sp,São Sebastião,1500,9,8,1,0,2632,45,27,2632,R$0.56,1.03%,R$0.02,R$0.17,1.70%,0.00%,0,0,
Cola em Sampa,colaemsampa,São Paulo,4000,9,8,1,0,16686,288,270,16686,R$0.24,1.62%,R$0.07,R$0.14,1.72%,0.00%,0,0,
